model,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,class_weight,train_acc,test_acc,gap
RandomForest,300,30.0,7,6,sqrt,True,balanced_subsample,0.9983170996959666,0.7610450674237047,0.2372720322722619
RandomForest,150,35.0,4,3,log2,True,balanced_subsample,0.9983409143229105,0.7610450674237047,0.2372958468992058
RandomForest,300,26.0,2,6,log2,False,,0.9979757567097711,0.761000709723208,0.23697504698656313
RandomForest,150,24.0,5,7,sqrt,False,,0.9984758638755924,0.761000709723208,0.2374751541523844
RandomForest,300,39.0,7,6,log2,True,,0.9972057504385861,0.7609119943222143,0.2362937561163717
RandomForest,200,30.0,4,7,sqrt,False,,0.9985076167115176,0.7608676366217175,0.23763998008980003
RandomForest,300,32.0,5,6,sqrt,False,,0.9986584426821621,0.7608676366217175,0.23779080606044456
RandomForest,100,26.0,7,8,sqrt,True,,0.9979519420828272,0.7608232789212207,0.23712866316160652
RandomForest,300,26.0,4,3,log2,True,,0.9984599874576298,0.7608232789212207,0.23763670853640906
RandomForest,150,21.0,13,6,log2,False,,0.9977931779032014,0.7607789212207239,0.23701425668247755
RandomForest,300,26.0,2,6,log2,True,,0.9972136886475673,0.7607345635202271,0.23647912512734026
RandomForest,150,28.0,3,8,log2,False,,0.997094615512848,0.7605127750177431,0.2365818404951049
RandomForest,150,41.0,2,6,log2,True,balanced,0.9973803910361744,0.7604240596167494,0.23695633141942496
RandomForest,200,33.0,9,3,log2,False,,0.9986743191001246,0.7604240596167494,0.2382502594833752
RandomForest,300,31.0,5,3,log2,True,,0.9984758638755924,0.7603353442157559,0.2381405196598365
RandomForest,150,29.0,6,2,log2,False,balanced,0.9993887579084407,0.7602909865152591,0.23909777139318167
RandomForest,200,20.0,8,1,log2,False,,0.9994363871623284,0.7602022711142654,0.239234116048063
RandomForest,300,39.0,5,7,log2,True,,0.9966818286458209,0.7601135557132718,0.23656827293254912
