model,C,solver,class_weight,max_iter,train_acc,test_acc,gap,max_depth,min_samples_split,min_samples_leaf,criterion,splitter,ccp_alpha,n_estimators,max_features,bootstrap
DecisionTree,,,,,0.9981424590983782,0.7868612491128459,0.2112812099855322,31.0,13.0,11.0,entropy,best,0.0,,,
DecisionTree,,,,,0.9981424590983782,0.7868612491128459,0.2112812099855322,27.0,8.0,11.0,entropy,best,1e-06,,,
DecisionTree,,,,,0.997451834917006,0.7865951029098651,0.2108567320071409,24.0,10.0,7.0,entropy,random,0.0,,,
DecisionTree,,,,,0.9982377176061537,0.7865951029098651,0.2116426146962885,26.0,13.0,10.0,entropy,best,1e-05,,,
DecisionTree,,,,,0.9982377176061537,0.7865951029098651,0.2116426146962885,28.0,18.0,10.0,log_loss,best,1e-05,,,
DecisionTree,,,,,0.9982377176061537,0.7865951029098651,0.2116426146962885,32.0,10.0,10.0,log_loss,best,1e-06,,,
DecisionTree,,,,,0.9986346280552182,0.7864620298083748,0.2121725982468434,24.0,11.0,7.0,entropy,best,1e-05,,,
DecisionTree,,,,,0.9986346280552182,0.7864620298083748,0.2121725982468434,32.0,5.0,7.0,entropy,best,1e-05,,,
DecisionTree,,,,,0.998325037904948,0.7863733144073811,0.2119517234975667,25.0,4.0,7.0,log_loss,best,0.0001,,,
DecisionTree,,,,,0.9985631841743866,0.7862845990063875,0.2122785851679991,33.0,17.0,7.0,entropy,best,0.0,,,
DecisionTree,,,,,0.9985631841743866,0.7862845990063875,0.2122785851679991,24.0,17.0,7.0,log_loss,best,1e-05,,,
DecisionTree,,,,,0.998602875219293,0.7862402413058907,0.2123626339134023,30.0,17.0,6.0,log_loss,best,1e-05,,,
DecisionTree,,,,,0.9986346280552182,0.7861515259048971,0.212483102150321,26.0,16.0,6.0,entropy,best,1e-06,,,
RandomForest,,,,,0.9987457629809562,0.785264371894961,0.2134813910859951,30.0,9.0,7.0,,,,100.0,,True
DecisionTree,,,,,0.9962531653608312,0.7849982256919801,0.2112549396688512,25.0,10.0,13.0,log_loss,random,0.0001,,,
DecisionTree,,,,,0.9736848372270248,0.7848207948899929,0.1888640423370319,5.0,24.0,17.0,entropy,random,0.001,,,
RandomForest,,,,,0.9987854540258628,0.7847320794889993,0.2140533745368634,29.0,2.0,7.0,,,,300.0,,True
